id,name,email,account_balance,default_currency
cus_MumO2LFaLMgBQz,,,0,
cus_MumLgC0igfkALf,,,0,
cus_MumKevPGBQtHg2,,,0,
cus_MumHiyESFhpKEC,,,0,
cus_MumGwOPs6u6rI4,,,0,
cus_Mulu9v0aW8wqE1,,,0,
cus_Muli0ILcW2lOef,,,0,
cus_Muldpmz04LeGjP,,,0,
cus_MulVEVBLvQyeaM,,,0,
cus_MulB9ycEIxlJWM,,,0,
cus_MulAcwmWZ2uN00,,,0,
cus_Mul9vAWtD3J6VX,,,0,
cus_Mul8GBbENH4OWN,,,0,
cus_Mul63mOlQQ2VY0,,,0,
cus_Mul5GYKcDw4yz8,,,0,
cus_Mul06qjHIT4L1Y,,,0,
cus_Mul0YuTNgeT5Zr,,,0,
cus_MukzUXqHuMIiRM,,,0,
cus_MukytF9TW0qIOq,,,0,
cus_MukxLJ7rRRtUnV,,,0,
cus_MukwegqiwYcWSN,,,0,
cus_MukuR7FaIXDSqK,,,0,
cus_MukqYcGZJ7y6Qi,,,0,
cus_MukoiFbshFGVLU,,,0,
cus_MuP14QtDwMqEW0,Dijana Test Credit Balance,dijana+creditbalance@chartmogul.com,-599955,usd
cus_MoeaUWnqCbJpkY,aroman test,aromantest@mail.com,0,usd
cus_MgTH97LbkQhL3I,Deleting Subscriptions,,0,usd
cus_MfpLFrV1GNCv43,Deleted Subscription Item - SaaSync 1,,0,usd
cus_MeB0rqwJbhhujG,sample customer,sample1@example.com,0,
cus_MdrOYZOfXsMwss,test,test@example.com,0,usd
cus_Mdlm57vlNG1SrW,Payment Example,customer_payment_checkout@example.com,0,usd
cus_MdlfvzJYuhEwFq,payment page,payment@example.com,0,usd
cus_MdRovJghp5oBDK,[DD] Test one time payment,,0,usd
cus_MZLaaJi3ck3Cdz,unprorated - prorated change,,0,usd
cus_MWhr7V9UN9YfmE,Test One-time,test@test.com,0,
cus_MWhMHBcC3IRnJD,multisubscription customer,,0,usd
cus_MWgCbNixXwgrcF,multiplan customer,,0,usd
cus_MVZ4JQ528es0RK,Daily then Monthly then Cancel,,0,usd
cus_MU6nuaxFarQvhu,Diamonds Plan Customer,,0,usd
cus_MTf6YG0kLM7BBF,void state,void@example.com,-6000,usd
cus_MTMhg2aziDfWwl,Metered customer,metered@example.com,0,
cus_MTDx5CBUlDrmDg,,,0,
